TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-04-15,TAS RANSEL OTHELLO SERIES,0
2023-04-16,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-16,TAS RANSEL OTHELLO SERIES,0
2023-04-17,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-04-17,TAS RANSEL OTHELLO SERIES,4
2023-04-18,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-04-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-18,TAS RANSEL OTHELLO SERIES,0
2023-04-19,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-19,TAS RANSEL OTHELLO SERIES,1
2023-04-20,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-20,TAS RANSEL OTHELLO SERIES,0
2023-04-21,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-21,TAS RANSEL OTHELLO SERIES,0
2023-04-22,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-22,TAS RANSEL OTHELLO SERIES,0
2023-04-23,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-23,TAS RANSEL OTHELLO SERIES,0
2023-04-24,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-24,TAS RANSEL OTHELLO SERIES,0
2023-04-25,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-04-25,TAS RANSEL OTHELLO SERIES,1
2023-04-26,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-26,TAS RANSEL OTHELLO SERIES,0
2023-04-27,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-04-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-27,TAS RANSEL OTHELLO SERIES,0
2023-04-28,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-28,TAS RANSEL OTHELLO SERIES,0
2023-04-29,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-04-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-04-29,TAS RANSEL OTHELLO SERIES,1
2023-04-30,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-30,TAS RANSEL OTHELLO SERIES,0
2023-05-01,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-05-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-01,TAS RANSEL OTHELLO SERIES,0
2023-05-02,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-05-02,TAS RANSEL OTHELLO SERIES,0
2023-05-03,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-05-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-05-03,TAS RANSEL OTHELLO SERIES,0
2023-05-04,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-05-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-04,TAS RANSEL OTHELLO SERIES,0
2023-05-05,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-05,TAS RANSEL OTHELLO SERIES,1
2023-05-06,BANTAL IBU MENYUSUI SERI SQUIREL,6
2023-05-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-05-06,TAS RANSEL OTHELLO SERIES,0
2023-05-07,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-05-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-07,TAS RANSEL OTHELLO SERIES,0
2023-05-08,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-05-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-05-08,TAS RANSEL OTHELLO SERIES,1
2023-05-09,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-09,TAS RANSEL OTHELLO SERIES,0
2023-05-10,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-05-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-10,TAS RANSEL OTHELLO SERIES,1
2023-05-11,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-11,TAS RANSEL OTHELLO SERIES,0
2023-05-12,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-12,TAS RANSEL OTHELLO SERIES,0
2023-05-13,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-13,TAS RANSEL OTHELLO SERIES,1
2023-05-14,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-05-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-14,TAS RANSEL OTHELLO SERIES,0
2023-05-15,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-05-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-05-15,TAS RANSEL OTHELLO SERIES,1
2023-05-16,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-05-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-16,TAS RANSEL OTHELLO SERIES,0
2023-05-17,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-17,TAS RANSEL OTHELLO SERIES,0
2023-05-18,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-05-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-18,TAS RANSEL OTHELLO SERIES,0
2023-05-19,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-05-19,TAS RANSEL OTHELLO SERIES,0
2023-05-20,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-20,TAS RANSEL OTHELLO SERIES,0
2023-05-21,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-05-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-21,TAS RANSEL OTHELLO SERIES,0
2023-05-22,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-05-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-22,TAS RANSEL OTHELLO SERIES,0
2023-05-23,BANTAL IBU MENYUSUI SERI SQUIREL,4
2023-05-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-23,TAS RANSEL OTHELLO SERIES,0
2023-05-24,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-05-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-24,TAS RANSEL OTHELLO SERIES,1
2023-05-25,BANTAL IBU MENYUSUI SERI SQUIREL,4
2023-05-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-25,TAS RANSEL OTHELLO SERIES,0
2023-05-26,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-05-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-26,TAS RANSEL OTHELLO SERIES,2
2023-05-27,BANTAL IBU MENYUSUI SERI SQUIREL,7
2023-05-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-27,TAS RANSEL OTHELLO SERIES,0
2023-05-28,BANTAL IBU MENYUSUI SERI SQUIREL,0
